Location,What are the usual causes of stress in your daily online class,What are the usual behavioral effects of stress you've noticed at yourself,What are the usual PSYCHOLOGICAL or EMOTIONAL effects of stress you've noticed at yourself,What are the usual PHYSICAL effects of stress you've noticed at yourself,What are the usual COGNITIVE effects of stress you've noticed at yourself,What are the usual SOCIAL effects of stress you've noticed at yourself,What are your personal methods to relieve stress,How stressed do you feel on a daily basis during the academic year,Found that you could not cope with all the things you had to do,When do you feel mostly stressed,How effective has remote learning been for you,How well could you manage time while learning remotely,Do you enjoy learning remotely
Urban,Feeling no stress,Difficulty communicating,No psychological and emotional effect,Eye problem due to online class,"Difficulty calculating, setting priorities or making decisions due to huge workload",Difficulty engaging in mutual problem solving,Sleeping,Less Stressed,Sometimes,Online class during evening time,Very effective,Good,"Yes, absolutely"
Urban,Health Issue,"Inability to rest, relax or let down",No psychological and emotional effect,Eye problem due to online class,"Difficulty calculating, setting priorities or making decisions due to huge workload",No social effect,Sports / Exercise,highly stressed,Sometimes,Assignment submision deadline,Not at all effective,Very Bad,Never
Urban,Health Issue,"Inability to rest, relax or let down",No psychological and emotional effect,Headaches,"Difficulty calculating, setting priorities or making decisions due to huge workload",No social effect,Talking with someone,Average Stressed,Sometimes,Online class during evening time,Moderately effective,Good,"Yes, but I would like to change a few things"
Urban,Health Issue,"Inability to rest, relax or let down",Anxlety or fear,Eye problem due to online class,No cognitive effect,No social effect,Sleeping,Less Stressed,Sometimes,Online class during evening time,Slightly effective,Good,"Yes, but I would like to change a few things"
Urban,Environmental Background Noise,"Inability to rest, relax or let down","Feeling overwhelmed, helpless or hopeless",Headaches,Difficulty Concentrating,Withdrawing or isolating from people,Computer Games,highly stressed,Sometimes,Online class during day time,Slightly effective,Average,"Yes, but I would like to change a few things"
Urban,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Sleeping,Less Stressed,Never,Never feel stressed,Moderately effective,Good,"Yes, but I would like to change a few things"
Urban,Feeling no stress,"Inability to rest, relax or let down",No psychological and emotional effect,Headaches,No cognitive effect,No social effect,,Not Stressed at All,Never,Never feel stressed,Moderately effective,Average,"Yes, but I would like to change a few things"
Urban,Feeling no stress,Decreased efficiency and effectiveness,"Feeling overwhelmed, helpless or hopeless",Eye problem due to online class,"Difficulty calculating, setting priorities or making decisions due to huge workload",Difficulty listening,Sports / Exercise,Average Stressed,Sometimes,Assignment submision deadline,Not at all effective,Average,"Yes, but I would like to change a few things"
Urban,Environmental Background Noise,"Inability to rest, relax or let down",Anxlety or fear,Headaches,Difficulty Concentrating,Difficulty listening,Sleeping,highly stressed,Fairly Often,Online class during evening time,Moderately effective,Average,"Yes, but I would like to change a few things"
Urban,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Sleeping,Less Stressed,Almost Never,Online class during evening time,Moderately effective,Good,"Yes, but I would like to change a few things"
Urban,Health Issue,"Inability to rest, relax or let down","Feeling isolated, lost, lonely or abandoned, missing friends",Headaches,"Difficulty calculating, setting priorities or making decisions due to huge workload",Difficulty listening,Sleeping,highly stressed,Fairly Often,Online class during evening time,Not at all effective,Average,"No, there are quite a few challenges"
Urban,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Talking with someone,Average Stressed,Sometimes,Assignment submision deadline,Moderately effective,Good,"No, there are quite a few challenges"
Urban,Environmental Background Noise,"Inability to rest, relax or let down","Feeling overwhelmed, helpless or hopeless",Eye problem due to online class,Difficulty Concentrating,Difficulty engaging in mutual problem solving,Computer Games,highly stressed,Very Often,Assignment submision deadline,Not at all effective,Very Bad,Never
Rural,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,No cognitive effect,Difficulty engaging in mutual problem solving,Sports / Exercise,Average Stressed,Very Often,Assignment submision deadline,Moderately effective,Very Bad,"Yes, but I would like to change a few things"
Urban,Health Issue,"Inability to rest, relax or let down","Feeling overwhelmed, helpless or hopeless",Eye problem due to online class,Difficulty Concentrating,Difficulty sharing ideas,Sleeping,highly stressed,Sometimes,Online class during day time,Extremely effective,Average,"Yes, but I would like to change a few things"
Urban,Environmental Background Noise,"Inability to rest, relax or let down","Feeling overwhelmed, helpless or hopeless",Eye problem due to online class,Difficulty Concentrating,Difficulty sharing ideas,Sleeping,highly stressed,Sometimes,Online class during evening time,Extremely effective,Average,"Yes, but I would like to change a few things"
Urban,Feeling no stress,Decreased efficiency and effectiveness,"Feeling overwhelmed, helpless or hopeless",No physical effect,"Slowness in thinking, analyzing, or comprehending",No social effect,Sleeping,highly stressed,Fairly Often,Assignment submision deadline,Slightly effective,Bad,"No, there are quite a few challenges"
Urban,Feeling no stress,"Inability to rest, relax or let down","Feeling isolated, lost, lonely or abandoned, missing friends",Eye problem due to online class,Difficulty Concentrating,Difficulty listening,Sports / Exercise,Average Stressed,Almost Never,Online class during evening time,Very effective,Good,"Yes, but I would like to change a few things"
Rural,Family Issue,Decreased efficiency and effectiveness,"Feeling isolated, lost, lonely or abandoned, missing friends",Eye problem due to online class,Difficulty Concentrating,Difficulty listening,Talking with someone,Average Stressed,Very Often,Assignment submision deadline,Moderately effective,Bad,"No, there are quite a few challenges"
Urban,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,"Difficulty calculating, setting priorities or making decisions due to huge workload",No social effect,Talking with someone,highly stressed,Fairly Often,Assignment submision deadline,Moderately effective,Average,"Yes, absolutely"
Rural,Health Issue,Decreased efficiency and effectiveness,"Sadness, moodiness, grief or depression",Eye problem due to online class,"Slowness in thinking, analyzing, or comprehending",Difficulty engaging in mutual problem solving,Sports / Exercise,Average Stressed,Sometimes,Assignment submision deadline,Moderately effective,Average,"Yes, but I would like to change a few things"
Urban,Feeling no stress,Change in activity levels,No psychological and emotional effect,Headaches,Difficulty Concentrating,No social effect,Sports / Exercise,Average Stressed,Sometimes,Never feel stressed,Slightly effective,Average,"Yes, but I would like to change a few things"
Urban,Environmental Background Noise,"Inability to rest, relax or let down",No psychological and emotional effect,Eye problem due to online class,"Difficulty calculating, setting priorities or making decisions due to huge workload",Difficulty listening,Sleeping,highly stressed,Sometimes,Assignment submision deadline,Moderately effective,Average,"Yes, but I would like to change a few things"
Urban,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Social Media,Less Stressed,Sometimes,Assignment submision deadline,Not at all effective,Very good,"Yes, absolutely"
Urban,Environmental Background Noise,Change in sleep patterns,"Feeling overwhelmed, helpless or hopeless",Headaches,"Slowness in thinking, analyzing, or comprehending",Difficulty listening,Sleeping,highly stressed,Very Often,Online class during day time,Not at all effective,Very Bad,Never
Urban,Health Issue,Decreased efficiency and effectiveness,"Feeling isolated, lost, lonely or abandoned, missing friends",Headaches,"Slowness in thinking, analyzing, or comprehending",Difficulty engaging in mutual problem solving,Sleeping,highly stressed,Sometimes,Online class during evening time,Slightly effective,Average,"No, there are quite a few challenges"
Urban,Feeling no stress,Change in activity levels,"Feeling isolated, lost, lonely or abandoned, missing friends",Eye problem due to online class,Difficulty Concentrating,Difficulty engaging in mutual problem solving,Sports / Exercise,Average Stressed,Sometimes,Online class during day time,Slightly effective,Average,"No, there are quite a few challenges"
Urban,Environmental Background Noise,"Inability to rest, relax or let down","Feeling isolated, lost, lonely or abandoned, missing friends",Headaches,Difficulty Concentrating,Difficulty sharing ideas,Talking with someone,Average Stressed,Fairly Often,Assignment submision deadline,Slightly effective,Bad,"No, there are quite a few challenges"
Urban,Feeling no stress,"Inability to rest, relax or let down",Anxlety or fear,Eye problem due to online class,No cognitive effect,No social effect,Social Media,highly stressed,Sometimes,Assignment submision deadline,Moderately effective,Good,"Yes, but I would like to change a few things"
Urban,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Sleeping,Average Stressed,Sometimes,Online class during evening time,Moderately effective,Average,"Yes, but I would like to change a few things"
Urban,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,"Difficulty calculating, setting priorities or making decisions due to huge workload",No social effect,Talking with someone,Not Stressed at All,Almost Never,Assignment submision deadline,Extremely effective,Very good,"Yes, absolutely"
Urban,Health Issue,Decreased efficiency and effectiveness,"Feeling isolated, lost, lonely or abandoned, missing friends",Headaches,"Slowness in thinking, analyzing, or comprehending",Withdrawing or isolating from people,Sports / Exercise,Average Stressed,Sometimes,Online class during day time,Moderately effective,Average,"Yes, but I would like to change a few things"
Urban,Feeling no stress,"Inability to rest, relax or let down","Sadness, moodiness, grief or depression",Eye problem due to online class,Confusion,Withdrawing or isolating from people,Sports / Exercise,highly stressed,Almost Never,Online class during day time,Very effective,Good,"No, there are quite a few challenges"
Urban,Feeling no stress,Difficulty communicating,"Sadness, moodiness, grief or depression",Tremors or muscle twitching,Difficulty Concentrating,Withdrawing or isolating from people,Social Media,Average Stressed,Sometimes,Online class during evening time,Moderately effective,Average,"Yes, but I would like to change a few things"
Urban,Family Issue,Decreased efficiency and effectiveness,"Feeling isolated, lost, lonely or abandoned, missing friends",Eye problem due to online class,No cognitive effect,Difficulty engaging in mutual problem solving,Computer Games,highly stressed,Sometimes,Online class during evening time,Moderately effective,Very good,"Yes, but I would like to change a few things"
Urban,Health Issue,Decreased efficiency and effectiveness,"Feeling isolated, lost, lonely or abandoned, missing friends",Headaches,Difficulty Concentrating,Difficulty listening,Sports / Exercise,highly stressed,Almost Never,Online class during evening time,Slightly effective,Average,"No, there are quite a few challenges"
Urban,Feeling no stress,Change in sleep patterns,No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Sports / Exercise,Average Stressed,Sometimes,Online class during evening time,Very effective,Good,"Yes, absolutely"
Rural,Health Issue,"Inability to rest, relax or let down","Sadness, moodiness, grief or depression","Digestion Problem, Upset stomach, nausea, diarrhea",Difficulty Concentrating,Withdrawing or isolating from people,Computer Games,highly stressed,Very Often,Online Examination time,Extremely effective,Very Bad,Never
Rural,Environmental Background Noise,"Inability to rest, relax or let down","Feeling overwhelmed, helpless or hopeless",Headaches,"Slowness in thinking, analyzing, or comprehending",Difficulty listening,Sleeping,highly stressed,Very Often,Online class during evening time,Slightly effective,Average,Never
Urban,Health Issue,Change in sleep patterns,"Feeling overwhelmed, helpless or hopeless",Eye problem due to online class,"Slowness in thinking, analyzing, or comprehending",No social effect,Sleeping,highly stressed,Very Often,Assignment submision deadline,Moderately effective,Average,"Yes, but I would like to change a few things"
Urban,Feeling no stress,Decreased efficiency and effectiveness,"Sadness, moodiness, grief or depression",Eye problem due to online class,"Slowness in thinking, analyzing, or comprehending",Difficulty listening,Sports / Exercise,Average Stressed,Sometimes,Assignment submision deadline,Slightly effective,Average,"Yes, but I would like to change a few things"
Rural,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Sports / Exercise,Less Stressed,Never,Online Examination time,Not at all effective,Very good,"Yes, absolutely"
Urban,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,Confusion,No social effect,Computer Games,Average Stressed,Sometimes,Assignment submision deadline,Moderately effective,Good,"Yes, but I would like to change a few things"
Urban,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Sleeping,Less Stressed,Almost Never,Online class during evening time,Moderately effective,Good,"Yes, but I would like to change a few things"
Urban,Health Issue,"Inability to rest, relax or let down","Feeling isolated, lost, lonely or abandoned, missing friends",Headaches,"Difficulty calculating, setting priorities or making decisions due to huge workload",Difficulty listening,Sleeping,highly stressed,Fairly Often,Online class during evening time,Not at all effective,Average,"No, there are quite a few challenges"
Urban,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Talking with someone,Average Stressed,Sometimes,Assignment submision deadline,Moderately effective,Good,"No, there are quite a few challenges"
Urban,Environmental Background Noise,"Inability to rest, relax or let down","Feeling overwhelmed, helpless or hopeless",Eye problem due to online class,Difficulty Concentrating,Difficulty engaging in mutual problem solving,Computer Games,highly stressed,Very Often,Assignment submision deadline,Not at all effective,Very Bad,Never
Rural,Health Issue,Change in activity levels,"Feeling overwhelmed, helpless or hopeless",Eye problem due to online class,"Difficulty calculating, setting priorities or making decisions due to huge workload",Withdrawing or isolating from people,Sports / Exercise,highly stressed,Almost Never,Online class during day time,Not at all effective,Very Bad,Never
Urban,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Eating,Less Stressed,Never,Online class during evening time,Not at all effective,Good,"Yes, absolutely"
Rural,Feeling no stress,"Inability to rest, relax or let down","Sadness, moodiness, grief or depression",Tremors or muscle twitching,Difficulty Concentrating,Difficulty sharing ideas,Sleeping,Average Stressed,Sometimes,Online class during evening time,Moderately effective,Average,"Yes, absolutely"
Urban,Feeling no stress,"Inability to rest, relax or let down",No psychological and emotional effect,Eye problem due to online class,Difficulty Concentrating,Difficulty engaging in mutual problem solving,Sports / Exercise,Average Stressed,Sometimes,Assignment submision deadline,Not at all effective,Bad,"No, there are quite a few challenges"
Urban,Environmental Background Noise,Difficulty communicating,"Feeling isolated, lost, lonely or abandoned, missing friends",Eye problem due to online class,"Difficulty calculating, setting priorities or making decisions due to huge workload",Difficulty engaging in mutual problem solving,Sleeping,Average Stressed,Almost Never,Online class during evening time,Moderately effective,Average,"No, there are quite a few challenges"
Urban,Feeling no stress,Decreased efficiency and effectiveness,No psychological and emotional effect,Headaches,No cognitive effect,No social effect,Computer Games,Average Stressed,Sometimes,Assignment submision deadline,Slightly effective,Average,"Yes, but I would like to change a few things"
Urban,Health Issue,"Inability to rest, relax or let down","Feeling overwhelmed, helpless or hopeless",Eye problem due to online class,"Slowness in thinking, analyzing, or comprehending",Difficulty listening,Sleeping,Average Stressed,Fairly Often,Online Examination time,Slightly effective,Average,Never
Urban,Environmental Background Noise,"Inability to rest, relax or let down",Anxlety or fear,No physical effect,"Slowness in thinking, analyzing, or comprehending",Withdrawing or isolating from people,Computer Games,Average Stressed,Sometimes,Assignment submision deadline,Moderately effective,Good,"Yes, absolutely"
Urban,Environmental Background Noise,Decreased efficiency and effectiveness,"Feeling overwhelmed, helpless or hopeless",Eye problem due to online class,"Difficulty calculating, setting priorities or making decisions due to huge workload",Difficulty engaging in mutual problem solving,Sleeping,highly stressed,Sometimes,Online class during evening time,Very effective,Good,"Yes, absolutely"
Urban,Feeling no stress,"Inability to rest, relax or let down","Feeling isolated, lost, lonely or abandoned, missing friends",No physical effect,"Slowness in thinking, analyzing, or comprehending",Difficulty listening,Sports / Exercise,Average Stressed,Sometimes,Online class during evening time,Not at all effective,Good,"Yes, absolutely"
Urban,Health Issue,"Inability to rest, relax or let down","Feeling isolated, lost, lonely or abandoned, missing friends",Headaches,"Difficulty calculating, setting priorities or making decisions due to huge workload",Withdrawing or isolating from people,Social Media,highly stressed,Very Often,Online class during day time,Not at all effective,Very Bad,Never
Urban,Feeling no stress,Change in sleep patterns,No psychological and emotional effect,Headaches,No cognitive effect,No social effect,Computer Games,Average Stressed,Never,Assignment submision deadline,Slightly effective,Good,"Yes, absolutely"
Urban,Family Issue,"Inability to rest, relax or let down","Feeling overwhelmed, helpless or hopeless",Headaches,"Difficulty calculating, setting priorities or making decisions due to huge workload",Withdrawing or isolating from people,Talking with someone,highly stressed,Fairly Often,Online class during evening time,Moderately effective,Average,"Yes, but I would like to change a few things"
Urban,Health Issue,Change in activity levels,"Sadness, moodiness, grief or depression",Headaches,Difficulty Concentrating,Difficulty sharing ideas,Talking with someone,Average Stressed,Sometimes,Online class during day time,Slightly effective,Average,"Yes, but I would like to change a few things"
Urban,Health Issue,"Inability to rest, relax or let down","Sadness, moodiness, grief or depression",Headaches,Difficulty Concentrating,Withdrawing or isolating from people,Computer Games,Average Stressed,Fairly Often,Online class during evening time,Moderately effective,Average,"Yes, but I would like to change a few things"
Urban,Health Issue,Decreased efficiency and effectiveness,Anxlety or fear,No physical effect,Difficulty Concentrating,No social effect,Talking with someone,highly stressed,Sometimes,Assignment submision deadline,Very effective,Very good,"Yes, absolutely"
Rural,Health Issue,Change in activity levels,"Feeling overwhelmed, helpless or hopeless",Eye problem due to online class,"Difficulty calculating, setting priorities or making decisions due to huge workload",Withdrawing or isolating from people,Sports / Exercise,highly stressed,Almost Never,Online class during day time,Not at all effective,Very Bad,Never
Urban,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Eating,Less Stressed,Never,Online class during evening time,Not at all effective,Good,"Yes, absolutely"
Urban,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Eating,Less Stressed,Never,Online class during evening time,Not at all effective,Good,"Yes, absolutely"
Urban,Environmental Background Noise,Change in activity levels,"Feeling overwhelmed, helpless or hopeless",Headaches,Difficulty Concentrating,Difficulty sharing ideas,Eating,Less Stressed,Sometimes,Online class during day time,Moderately effective,Good,"No, there are quite a few challenges"
Urban,Environmental Background Noise,Change in sleep patterns,"Feeling isolated, lost, lonely or abandoned, missing friends",No physical effect,"Difficulty calculating, setting priorities or making decisions due to huge workload",Withdrawing or isolating from people,Sports / Exercise,Average Stressed,Sometimes,Online class during evening time,Moderately effective,Good,"Yes, but I would like to change a few things"
Urban,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,No cognitive effect,Difficulty engaging in mutual problem solving,Social Media,Not Stressed at All,Never,Never feel stressed,Very effective,Very good,"Yes, absolutely"
Urban,Health Issue,Change in sleep patterns,"Sadness, moodiness, grief or depression",Eye problem due to online class,"Difficulty calculating, setting priorities or making decisions due to huge workload",Difficulty sharing ideas,Talking with someone,highly stressed,Almost Never,Assignment submision deadline,Not at all effective,Average,"No, there are quite a few challenges"
Urban,Feeling no stress,"Inability to rest, relax or let down","Feeling overwhelmed, helpless or hopeless",Headaches,Difficulty Concentrating,Difficulty listening,Sleeping,highly stressed,Very Often,Online class during evening time,Moderately effective,Average,"Yes, but I would like to change a few things"
Urban,Feeling no stress,Change in sleep patterns,"Feeling overwhelmed, helpless or hopeless",Eye problem due to online class,Difficulty Concentrating,Difficulty listening,Sleeping,highly stressed,Very Often,Online class during day time,Slightly effective,Very Bad,"Yes, but I would like to change a few things"
Urban,Feeling no stress,"Inability to rest, relax or let down","Feeling overwhelmed, helpless or hopeless",Headaches,Difficulty Concentrating,Difficulty listening,Sleeping,highly stressed,Very Often,Online class during evening time,Moderately effective,Average,"Yes, but I would like to change a few things"
Urban,Health Issue,Change in activity levels,"Feeling isolated, lost, lonely or abandoned, missing friends",Eye problem due to online class,Difficulty Concentrating,Difficulty listening,Computer Games,Not Stressed at All,Never,Never feel stressed,Not at all effective,Very good,"Yes, but I would like to change a few things"
Urban,Environmental Background Noise,Change in activity levels,No psychological and emotional effect,No physical effect,Difficulty Concentrating,Difficulty sharing ideas,Talking with someone,Average Stressed,Never,Online class during day time,Slightly effective,Average,"Yes, but I would like to change a few things"
Rural,Feeling no stress,No changes in behaviour,No psychological and emotional effect,Eye problem due to online class,No cognitive effect,No social effect,Sleeping,Less Stressed,Never,Online class during evening time,Moderately effective,Good,"Yes, but I would like to change a few things"
Urban,Feeling no stress,Decreased efficiency and effectiveness,No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Talking with someone,Less Stressed,Fairly Often,Assignment submision deadline,Moderately effective,Average,"No, there are quite a few challenges"
Rural,Health Issue,"Inability to rest, relax or let down","Sadness, moodiness, grief or depression","Digestion Problem, Upset stomach, nausea, diarrhea",Difficulty Concentrating,Withdrawing or isolating from people,Computer Games,highly stressed,Very Often,Online Examination time,Extremely effective,Very Bad,Never
Rural,Environmental Background Noise,"Inability to rest, relax or let down","Feeling overwhelmed, helpless or hopeless",Headaches,"Slowness in thinking, analyzing, or comprehending",Difficulty listening,Sleeping,highly stressed,Very Often,Online class during evening time,Slightly effective,Average,Never
Urban,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Sleeping,highly stressed,Sometimes,Online class during evening time,Slightly effective,Good,"Yes, but I would like to change a few things"
Rural,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Talking with someone,Less Stressed,Sometimes,Assignment submision deadline,Very effective,Very good,"Yes, absolutely"
Urban,Environmental Background Noise,Decreased efficiency and effectiveness,"Feeling isolated, lost, lonely or abandoned, missing friends",Eye problem due to online class,"Difficulty calculating, setting priorities or making decisions due to huge workload",Difficulty engaging in mutual problem solving,Talking with someone,highly stressed,Very Often,Online class during evening time,Not at all effective,Very Bad,Never
Urban,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Sports / Exercise,highly stressed,Very Often,Assignment submision deadline,Moderately effective,Good,"Yes, absolutely"
Rural,Health Issue,Difficulty communicating,"Sadness, moodiness, grief or depression",Eye problem due to online class,Confusion,No social effect,Sports / Exercise,Less Stressed,Sometimes,Online class during day time,Slightly effective,Good,"Yes, but I would like to change a few things"
Rural,Environmental Background Noise,Difficulty communicating,"Feeling overwhelmed, helpless or hopeless",Eye problem due to online class,Difficulty Concentrating,Difficulty sharing ideas,Sleeping,Average Stressed,Sometimes,Online class during day time,Very effective,Very Bad,Never
Urban,Feeling no stress,Change in sleep patterns,"Feeling overwhelmed, helpless or hopeless",Eye problem due to online class,Difficulty Concentrating,Difficulty listening,Sleeping,highly stressed,Very Often,Online class during day time,Slightly effective,Very Bad,"Yes, but I would like to change a few things"
Urban,Environmental Background Noise,Decreased efficiency and effectiveness,Anxlety or fear,Eye problem due to online class,"Slowness in thinking, analyzing, or comprehending",Difficulty engaging in mutual problem solving,Talking with someone,highly stressed,Fairly Often,Online class during day time,Not at all effective,Very Bad,Never
Urban,Family Issue,Decreased efficiency and effectiveness,"Feeling overwhelmed, helpless or hopeless",Eye problem due to online class,"Difficulty calculating, setting priorities or making decisions due to huge workload",Difficulty engaging in mutual problem solving,Talking with someone,highly stressed,Sometimes,Assignment submision deadline,Not at all effective,Very Bad,Never
Urban,Environmental Background Noise,Decreased efficiency and effectiveness,No psychological and emotional effect,Eye problem due to online class,"Difficulty calculating, setting priorities or making decisions due to huge workload",Difficulty engaging in mutual problem solving,Sports / Exercise,Average Stressed,Fairly Often,Online class during evening time,Slightly effective,Bad,"No, there are quite a few challenges"
Urban,Environmental Background Noise,"Inability to rest, relax or let down","Sadness, moodiness, grief or depression",Headaches,Difficulty Concentrating,Difficulty listening,Sports / Exercise,Average Stressed,Fairly Often,Online class during evening time,Moderately effective,Bad,"No, there are quite a few challenges"
Urban,Environmental Background Noise,Decreased efficiency and effectiveness,No psychological and emotional effect,Eye problem due to online class,"Difficulty calculating, setting priorities or making decisions due to huge workload",Difficulty engaging in mutual problem solving,Sports / Exercise,Average Stressed,Fairly Often,Online class during evening time,Slightly effective,Bad,"No, there are quite a few challenges"
Urban,Environmental Background Noise,Decreased efficiency and effectiveness,No psychological and emotional effect,Eye problem due to online class,"Slowness in thinking, analyzing, or comprehending",Withdrawing or isolating from people,Sleeping,highly stressed,Sometimes,Assignment submision deadline,Slightly effective,Average,"No, there are quite a few challenges"
Urban,Family Issue,Change in sleep patterns,"Feeling isolated, lost, lonely or abandoned, missing friends",Headaches,Difficulty Concentrating,Withdrawing or isolating from people,Sports / Exercise,highly stressed,Fairly Often,Assignment submision deadline,Not at all effective,Bad,Never
Rural,Health Issue,Difficulty communicating,No psychological and emotional effect,Eye problem due to online class,"Difficulty calculating, setting priorities or making decisions due to huge workload",Difficulty sharing ideas,Sports / Exercise,Average Stressed,Never,Online class during day time,Slightly effective,Average,"No, there are quite a few challenges"
Urban,Feeling no stress,Change in sleep patterns,No psychological and emotional effect,No physical effect,No cognitive effect,Difficulty engaging in mutual problem solving,Talking with someone,Less Stressed,Sometimes,Assignment submision deadline,Extremely effective,Very good,"Yes, but I would like to change a few things"
Urban,Family Issue,"Inability to rest, relax or let down","Feeling isolated, lost, lonely or abandoned, missing friends",Headaches,"Difficulty calculating, setting priorities or making decisions due to huge workload",Withdrawing or isolating from people,Sports / Exercise,highly stressed,Sometimes,Online Examination time,Not at all effective,Very Bad,"No, there are quite a few challenges"
Rural,Environmental Background Noise,Decreased efficiency and effectiveness,"Feeling overwhelmed, helpless or hopeless",Headaches,Difficulty Concentrating,Difficulty listening,Sports / Exercise,highly stressed,Never,Online class during day time,Extremely effective,Good,"Yes, but I would like to change a few things"
Urban,Health Issue,Change in sleep patterns,"Sadness, moodiness, grief or depression",Headaches,Difficulty Concentrating,Difficulty sharing ideas,Talking with someone,highly stressed,Sometimes,Assignment submision deadline,Moderately effective,Average,"Yes, but I would like to change a few things"
Urban,Feeling no stress,"Inability to rest, relax or let down",No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Sleeping,highly stressed,Fairly Often,Online class during evening time,Moderately effective,Average,"Yes, but I would like to change a few things"
Urban,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Sleeping,Not Stressed at All,Never,Never feel stressed,Not at all effective,Good,"Yes, absolutely"
Urban,Feeling no stress,Difficulty communicating,No psychological and emotional effect,Eye problem due to online class,"Difficulty calculating, setting priorities or making decisions due to huge workload",Difficulty engaging in mutual problem solving,Sleeping,Less Stressed,Sometimes,Online class during evening time,Very effective,Good,"Yes, absolutely"
Urban,Health Issue,"Inability to rest, relax or let down",No psychological and emotional effect,Eye problem due to online class,"Difficulty calculating, setting priorities or making decisions due to huge workload",No social effect,Sports / Exercise,highly stressed,Sometimes,Assignment submision deadline,Not at all effective,Very Bad,Never
Urban,Health Issue,"Inability to rest, relax or let down",No psychological and emotional effect,Headaches,"Difficulty calculating, setting priorities or making decisions due to huge workload",No social effect,Talking with someone,Average Stressed,Sometimes,Online class during evening time,Moderately effective,Good,"Yes, but I would like to change a few things"
Urban,Health Issue,"Inability to rest, relax or let down",Anxlety or fear,Eye problem due to online class,No cognitive effect,No social effect,Sleeping,Less Stressed,Sometimes,Online class during evening time,Slightly effective,Good,"Yes, but I would like to change a few things"
Urban,Environmental Background Noise,"Inability to rest, relax or let down","Feeling overwhelmed, helpless or hopeless",Headaches,Difficulty Concentrating,Withdrawing or isolating from people,Computer Games,highly stressed,Sometimes,Online class during day time,Slightly effective,Average,"Yes, but I would like to change a few things"
Urban,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Sleeping,Less Stressed,Never,Never feel stressed,Moderately effective,Good,"Yes, but I would like to change a few things"
Urban,Health Issue,"Inability to rest, relax or let down","Feeling overwhelmed, helpless or hopeless",No physical effect,"Difficulty calculating, setting priorities or making decisions due to huge workload",Withdrawing or isolating from people,Talking with someone,highly stressed,Very Often,Assignment submision deadline,Moderately effective,Average,"Yes, but I would like to change a few things"
Urban,Feeling no stress,"Inability to rest, relax or let down",No psychological and emotional effect,No physical effect,No cognitive effect,Withdrawing or isolating from people,Eating,Not Stressed at All,Sometimes,Assignment submision deadline,Slightly effective,Very good,"No, there are quite a few challenges"
Urban,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Sports / Exercise,Less Stressed,Almost Never,Assignment submision deadline,Extremely effective,Very good,"Yes, absolutely"
Rural,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Sports / Exercise,Not Stressed at All,Almost Never,Never feel stressed,Extremely effective,Very good,"Yes, absolutely"
Rural,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Sports / Exercise,highly stressed,Fairly Often,Never feel stressed,Slightly effective,Good,"Yes, absolutely"
